timestamp,open,high,low,close,gain,loss,avg gain,avg loss,RS,RSI
20-01-2021,129.7,131.06,128.56,130.08,0,1.57,1.308948505,0.767419504,1.705649254,63.04029435
19-01-2021,129.28,129.59,128.0885,129.02,0,1.06,1.215452183,0.788318111,1.541829581,60.65825941
15-01-2021,128.28,129.24,127.67,128.39,0,0.63,1.12863417,0.777009675,1.452535543,59.22587125
14-01-2021,128.02,130.16,127.55,128.97,0.58,0,1.089446015,0.721508984,1.509954886,60.15864645
13-01-2021,129.15,129.75,126.455,126.92,0,2.05,1.011628442,0.816401199,1.2391315,55.33982707
12-01-2021,129.09,129.85,127.94,129.21,2.29,0,1.102940696,0.758086828,1.454900225,59.26514692
11-01-2021,127.95,129.675,127.66,128.58,0,0.63,1.024159218,0.748937769,1.367482401,57.76103766
08-01-2021,128.57,129.32,126.98,128.53,0,0.05,0.951004988,0.699013642,1.360495605,57.63601518
07-01-2021,130.04,130.46,128.26,128.99,0.46,0,0.915933203,0.649084096,1.411116385,58.52543634
06-01-2021,126.9,131.88,126.72,129.29,0.3,0,0.871937975,0.602720947,1.446669441,59.12811173
05-01-2021,125.01,126.68,124.61,126.14,0,3.15,0.809656691,0.78466945,1.031844288,50.78363014
04-01-2021,125.85,125.9174,123.04,123.94,0,2.2,0.75182407,0.88576449,0.848785517,45.91043736
31-12-2020,124.22,126.03,123.99,125.88,1.94,0,0.836693779,0.822495598,1.017262319,50.42786501
30-12-2020,123.8,124.85,123.63,124.34,0,1.54,0.776929938,0.873745912,0.889194361,47.06738382
29-12-2020,125.35,125.48,123.24,123.8,0,0.54,0.721434942,0.849906918,0.848839946,45.91202974
28-12-2020,125.1,126.6,124.46,124.82,1.02,0,0.742761018,0.789199281,0.941157747,48.4843516
24-12-2020,125,125.1,124.21,124.69,0,0.13,0.689706659,0.742113618,0.929381489,48.1699184
23-12-2020,123.88,125.21,123.74,123.9,0,0.79,0.640441898,0.745534074,0.859037729,46.20873023
22-12-2020,123.31,124.22,122.41,123.61,0,0.29,0.594696048,0.712995926,0.83408057,45.47676822
21-12-2020,123.97,124.18,121.72,123.39,0,0.22,0.552217759,0.677781931,0.81474252,44.89576407
18-12-2020,125.59,126.4,124.97,125.85,2.46,0,0.688487919,0.629368936,1.093933748,52.24299713
17-12-2020,126.08,126.09,124.91,125.55,0,0.3,0.639310211,0.605842584,1.055241457,51.34391647
16-12-2020,125.93,126.5728,125.286,125.55,0,0,0.593645196,0.562568113,1.055241457,51.34391647
15-12-2020,124.39,125.93,123.44,125.93,0.38,0,0.578384824,0.522384677,1.107200977,52.54368184
14-12-2020,125.32,126.2435,123.47,123.53,0,2.4,0.537071623,0.656500057,0.818083132,44.99701458
11-12-2020,124.08,125.51,123.61,124.27,0.74,0,0.551566507,0.609607196,0.90479002,47.50077491
10-12-2020,126.35,126.93,124.94,124.96,0.69,0,0.561454613,0.566063825,0.991857436,49.79560373
09-12-2020,125.8,127.69,125.7,126.79,1.83,0,0.652064998,0.525630694,1.240538282,55.36786815
08-12-2020,125.32,126.33,124.64,125.71,0,1.08,0.605488927,0.565228502,1.071228583,51.71947663
07-12-2020,126.49,126.97,124.57,124.7,0,1.01,0.562239718,0.596997895,0.941778393,48.50081742
04-12-2020,123.97,127.38,123.64,127.2,2.5,0,0.700651167,0.554355188,1.263902967,55.82849554
03-12-2020,124.16,124.86,123.29,123.61,0,3.59,0.650604655,0.77118696,0.843640632,45.75949442
02-12-2020,122.85,124.64,122.41,124.62,1.01,0,0.676275751,0.716102177,0.944384436,48.56984136
01-12-2020,123.9,125.83,123.08,123.16,0,1.46,0.62797034,0.769237736,0.816354048,44.94465433
30-11-2020,124.1,125,123.09,123.52,0.36,0,0.608829601,0.714292183,0.852353722,46.01463058
27-11-2020,124.2,125.313,123.91,124.35,0.83,0,0.624627487,0.663271313,0.941737528,48.49973359
25-11-2020,122.93,124.33,122.11,124.2,0,0.15,0.580011238,0.626609077,0.925634913,48.06907616
24-11-2020,120.86,124.73,120.805,124.42,0.22,0,0.55429615,0.581851285,0.952642305,48.78734331
23-11-2020,117.43,120.515,117.27,120.09,0,4.33,0.514703567,0.849576194,0.605835676,37.72712769
20-11-2020,117.6,118.04,116.69,116.94,0,3.15,0.477939027,1.01389218,0.471390387,32.03707127
19-11-2020,116.54,117.45,115.89,117.18,0.24,0,0.460943382,0.94147131,0.489598968,32.86783751
18-11-2020,117.72,118.88,116.75,116.77,0,0.41,0.428018855,0.903509073,0.473729448,32.14494009
17-11-2020,117.6,118.54,117.07,117.7,0.93,0,0.463874651,0.838972711,0.552907913,35.60468129
16-11-2020,118.3,118.55,117.12,118.36,0.66,0,0.477883604,0.779046089,0.61342148,38.01991528
